================================================================================
     MEMORY ACCUMULATION AND PERFORMANCE DEGRADATION BENCHMARK     
================================================================================
Connecting to Cassandra...
Connected to the keyspace network_giustino

Preparing cluster state (Truncating tables with extended timeout)...

Starting incremental injection (Batch Size: 2000 users, Max Cap: 200000).
The test will terminate if the latency spikes compared to the previous batch.
--------------------------------------------------------------------------------
[BATCH #1 ] Inserted 2000 users | Total: 2000  | Payload Size: ~2000  KB | Latency: 987.80 ms (WARM-UP) | Status: OK
[BATCH #2 ] Inserted 2000 users | Total: 4000  | Payload Size: ~4000  KB | Latency: 1092.41 ms | Delta vs Prev: 1.11x | Status: OK
[BATCH #3 ] Inserted 2000 users | Total: 6000  | Payload Size: ~6000  KB | Latency: 1038.70 ms | Delta vs Prev: 0.95x | Status: OK
[BATCH #4 ] Inserted 2000 users | Total: 8000  | Payload Size: ~8000  KB | Latency: 887.83 ms | Delta vs Prev: 0.85x | Status: OK
[BATCH #5 ] Inserted 2000 users | Total: 10000 | Payload Size: ~10000 KB | Latency: 1326.64 ms | Delta vs Prev: 1.49x | Status: OK
[BATCH #6 ] Inserted 2000 users | Total: 12000 | Payload Size: ~12000 KB | Latency: 2691.25 ms | Delta vs Prev: 2.03x | Status: OK
[BATCH #7 ] Inserted 2000 users | Total: 14000 | Payload Size: ~14000 KB | Latency: 1117.64 ms | Delta vs Prev: 0.42x | Status: OK
[BATCH #8 ] Inserted 2000 users | Total: 16000 | Payload Size: ~16000 KB | Latency: 1259.66 ms | Delta vs Prev: 1.13x | Status: OK
[BATCH #9 ] Inserted 2000 users | Total: 18000 | Payload Size: ~18000 KB | Latency: 1081.75 ms | Delta vs Prev: 0.86x | Status: OK
[BATCH #10] Inserted 2000 users | Total: 20000 | Payload Size: ~20000 KB | Latency: 1024.67 ms | Delta vs Prev: 0.95x | Status: OK
[BATCH #11] Inserted 2000 users | Total: 22000 | Payload Size: ~22000 KB | Latency: 1232.09 ms | Delta vs Prev: 1.20x | Status: OK
[BATCH #12] Inserted 2000 users | Total: 24000 | Payload Size: ~24000 KB | Latency: 1057.86 ms | Delta vs Prev: 0.86x | Status: OK
[BATCH #13] Inserted 2000 users | Total: 26000 | Payload Size: ~26000 KB | Latency: 1199.61 ms | Delta vs Prev: 1.13x | Status: OK
[BATCH #14] Inserted 2000 users | Total: 28000 | Payload Size: ~28000 KB | Latency: 1005.50 ms | Delta vs Prev: 0.84x | Status: OK
[BATCH #15] Inserted 2000 users | Total: 30000 | Payload Size: ~30000 KB | Latency: 925.36 ms | Delta vs Prev: 0.92x | Status: OK
[BATCH #16] Inserted 2000 users | Total: 32000 | Payload Size: ~32000 KB | Latency: 941.90 ms | Delta vs Prev: 1.02x | Status: OK
[BATCH #17] Inserted 2000 users | Total: 34000 | Payload Size: ~34000 KB | Latency: 1590.72 ms | Delta vs Prev: 1.69x | Status: OK
[BATCH #18] Inserted 2000 users | Total: 36000 | Payload Size: ~36000 KB | Latency: 1246.87 ms | Delta vs Prev: 0.78x | Status: OK
[BATCH #19] Inserted 2000 users | Total: 38000 | Payload Size: ~38000 KB | Latency: 1046.59 ms | Delta vs Prev: 0.84x | Status: OK
[BATCH #20] Inserted 2000 users | Total: 40000 | Payload Size: ~40000 KB | Latency: 1488.88 ms | Delta vs Prev: 1.42x | Status: OK
[BATCH #21] Inserted 2000 users | Total: 42000 | Payload Size: ~42000 KB | Latency: 1079.79 ms | Delta vs Prev: 0.73x | Status: OK
[BATCH #22] Inserted 2000 users | Total: 44000 | Payload Size: ~44000 KB | Latency: 1165.63 ms | Delta vs Prev: 1.08x | Status: OK
[BATCH #23] Inserted 2000 users | Total: 46000 | Payload Size: ~46000 KB | Latency: 955.00 ms | Delta vs Prev: 0.82x | Status: OK
[BATCH #24] Inserted 2000 users | Total: 48000 | Payload Size: ~48000 KB | Latency: 1145.16 ms | Delta vs Prev: 1.20x | Status: OK
[BATCH #25] Inserted 2000 users | Total: 50000 | Payload Size: ~50000 KB | Latency: 1086.85 ms | Delta vs Prev: 0.95x | Status: OK
[BATCH #26] Inserted 2000 users | Total: 52000 | Payload Size: ~52000 KB | Latency: 1423.18 ms | Delta vs Prev: 1.31x | Status: OK
[BATCH #27] Inserted 2000 users | Total: 54000 | Payload Size: ~54000 KB | Latency: 866.55 ms | Delta vs Prev: 0.61x | Status: OK
[BATCH #28] Inserted 2000 users | Total: 56000 | Payload Size: ~56000 KB | Latency: 1008.20 ms | Delta vs Prev: 1.16x | Status: OK
[BATCH #29] Inserted 2000 users | Total: 58000 | Payload Size: ~58000 KB | Latency: 891.29 ms | Delta vs Prev: 0.88x | Status: OK
[BATCH #30] Inserted 2000 users | Total: 60000 | Payload Size: ~60000 KB | Latency: 1330.67 ms | Delta vs Prev: 1.49x | Status: OK
[BATCH #31] Inserted 2000 users | Total: 62000 | Payload Size: ~62000 KB | Latency: 1106.26 ms | Delta vs Prev: 0.83x | Status: OK
[BATCH #32] Inserted 2000 users | Total: 64000 | Payload Size: ~64000 KB | Latency: 1791.90 ms | Delta vs Prev: 1.62x | Status: OK
[BATCH #33] Inserted 2000 users | Total: 66000 | Payload Size: ~66000 KB | Latency: 992.37 ms | Delta vs Prev: 0.55x | Status: OK
[BATCH #34] Inserted 2000 users | Total: 68000 | Payload Size: ~68000 KB | Latency: 2264.32 ms | Delta vs Prev: 2.28x | Status: OK
[BATCH #35] Inserted 2000 users | Total: 70000 | Payload Size: ~70000 KB | Latency: 1381.47 ms | Delta vs Prev: 0.61x | Status: OK
[BATCH #36] Inserted 2000 users | Total: 72000 | Payload Size: ~72000 KB | Latency: 1067.39 ms | Delta vs Prev: 0.77x | Status: OK
[BATCH #37] Inserted 2000 users | Total: 74000 | Payload Size: ~74000 KB | Latency: 924.97 ms | Delta vs Prev: 0.87x | Status: OK
[BATCH #38] Inserted 2000 users | Total: 76000 | Payload Size: ~76000 KB | Latency: 957.31 ms | Delta vs Prev: 1.03x | Status: OK
[BATCH #39] Inserted 2000 users | Total: 78000 | Payload Size: ~78000 KB | Latency: 2456.36 ms | Delta vs Prev: 2.57x | Status: OK
[BATCH #40] Inserted 2000 users | Total: 80000 | Payload Size: ~80000 KB | Latency: 1394.56 ms | Delta vs Prev: 0.57x | Status: OK
[BATCH #41] Inserted 2000 users | Total: 82000 | Payload Size: ~82000 KB | Latency: 4042.45 ms | Delta vs Prev: 2.90x | Status: OK
[BATCH #42] Inserted 2000 users | Total: 84000 | Payload Size: ~84000 KB | Latency: 1017.52 ms | Delta vs Prev: 0.25x | Status: OK
[BATCH #43] Inserted 2000 users | Total: 86000 | Payload Size: ~86000 KB | Latency: 1057.35 ms | Delta vs Prev: 1.04x | Status: OK
[BATCH #44] Inserted 2000 users | Total: 88000 | Payload Size: ~88000 KB | Latency: 1047.64 ms | Delta vs Prev: 0.99x | Status: OK
[BATCH #45] Inserted 2000 users | Total: 90000 | Payload Size: ~90000 KB | Latency: 2103.85 ms | Delta vs Prev: 2.01x | Status: OK
[BATCH #46] Inserted 2000 users | Total: 92000 | Payload Size: ~92000 KB | Latency: 974.73 ms | Delta vs Prev: 0.46x | Status: OK
[BATCH #47] Inserted 2000 users | Total: 94000 | Payload Size: ~94000 KB | Latency: 1357.11 ms | Delta vs Prev: 1.39x | Status: OK
[BATCH #48] Inserted 2000 users | Total: 96000 | Payload Size: ~96000 KB | Latency: 1092.88 ms | Delta vs Prev: 0.81x | Status: OK
[BATCH #49] Inserted 2000 users | Total: 98000 | Payload Size: ~98000 KB | Latency: 1031.53 ms | Delta vs Prev: 0.94x | Status: OK
[BATCH #50] Inserted 2000 users | Total: 100000 | Payload Size: ~100000 KB | Latency: 1545.19 ms | Delta vs Prev: 1.50x | Status: OK
[BATCH #51] Inserted 2000 users | Total: 102000 | Payload Size: ~102000 KB | Latency: 925.29 ms | Delta vs Prev: 0.60x | Status: OK
[BATCH #52] Inserted 2000 users | Total: 104000 | Payload Size: ~104000 KB | Latency: 995.87 ms | Delta vs Prev: 1.08x | Status: OK
[BATCH #53] Inserted 2000 users | Total: 106000 | Payload Size: ~106000 KB | Latency: 985.65 ms | Delta vs Prev: 0.99x | Status: OK
[BATCH #54] Inserted 2000 users | Total: 108000 | Payload Size: ~108000 KB | Latency: 1122.69 ms | Delta vs Prev: 1.14x | Status: OK
[BATCH #55] Inserted 2000 users | Total: 110000 | Payload Size: ~110000 KB | Latency: 835.83 ms | Delta vs Prev: 0.74x | Status: OK
[BATCH #56] Inserted 2000 users | Total: 112000 | Payload Size: ~112000 KB | Latency: 1133.49 ms | Delta vs Prev: 1.36x | Status: OK
[BATCH #57] Inserted 2000 users | Total: 114000 | Payload Size: ~114000 KB | Latency: 951.38 ms | Delta vs Prev: 0.84x | Status: OK
[BATCH #58] Inserted 2000 users | Total: 116000 | Payload Size: ~116000 KB | Latency: 1041.11 ms | Delta vs Prev: 1.09x | Status: OK
[BATCH #59] Inserted 2000 users | Total: 118000 | Payload Size: ~118000 KB | Latency: 886.47 ms | Delta vs Prev: 0.85x | Status: OK
[BATCH #60] Inserted 2000 users | Total: 120000 | Payload Size: ~120000 KB | Latency: 2122.71 ms | Delta vs Prev: 2.39x | Status: OK
[BATCH #61] Inserted 2000 users | Total: 122000 | Payload Size: ~122000 KB | Latency: 1389.96 ms | Delta vs Prev: 0.65x | Status: OK
[BATCH #62] Inserted 2000 users | Total: 124000 | Payload Size: ~124000 KB | Latency: 951.16 ms | Delta vs Prev: 0.68x | Status: OK
[BATCH #63] Inserted 2000 users | Total: 126000 | Payload Size: ~126000 KB | Latency: 1101.89 ms | Delta vs Prev: 1.16x | Status: OK
[BATCH #64] Inserted 2000 users | Total: 128000 | Payload Size: ~128000 KB | Latency: 964.32 ms | Delta vs Prev: 0.88x | Status: OK
[BATCH #65] Inserted 2000 users | Total: 130000 | Payload Size: ~130000 KB | Latency: 2577.09 ms | Delta vs Prev: 2.67x | Status: OK
[BATCH #66] Inserted 2000 users | Total: 132000 | Payload Size: ~132000 KB | Latency: 1590.35 ms | Delta vs Prev: 0.62x | Status: OK
[BATCH #67] Inserted 2000 users | Total: 134000 | Payload Size: ~134000 KB | Latency: 1981.23 ms | Delta vs Prev: 1.25x | Status: OK
[BATCH #68] Inserted 2000 users | Total: 136000 | Payload Size: ~136000 KB | Latency: 1000.39 ms | Delta vs Prev: 0.50x | Status: OK
[BATCH #69] Inserted 2000 users | Total: 138000 | Payload Size: ~138000 KB | Latency: 1768.09 ms | Delta vs Prev: 1.77x | Status: OK
[BATCH #70] Inserted 2000 users | Total: 140000 | Payload Size: ~140000 KB | Latency: 927.77 ms | Delta vs Prev: 0.52x | Status: OK
[BATCH #71] Inserted 2000 users | Total: 142000 | Payload Size: ~142000 KB | Latency: 876.82 ms | Delta vs Prev: 0.95x | Status: OK
[BATCH #72] Inserted 2000 users | Total: 144000 | Payload Size: ~144000 KB | Latency: 1054.11 ms | Delta vs Prev: 1.20x | Status: OK
[BATCH #73] Inserted 2000 users | Total: 146000 | Payload Size: ~146000 KB | Latency: 1770.62 ms | Delta vs Prev: 1.68x | Status: OK
[BATCH #74] Inserted 2000 users | Total: 148000 | Payload Size: ~148000 KB | Latency: 1751.52 ms | Delta vs Prev: 0.99x | Status: OK
[BATCH #75] Inserted 2000 users | Total: 150000 | Payload Size: ~150000 KB | Latency: 1588.62 ms | Delta vs Prev: 0.91x | Status: OK
[BATCH #76] Inserted 2000 users | Total: 152000 | Payload Size: ~152000 KB | Latency: 3704.77 ms | Delta vs Prev: 2.33x | Status: OK
[BATCH #77] Inserted 2000 users | Total: 154000 | Payload Size: ~154000 KB | Latency: 1498.55 ms | Delta vs Prev: 0.40x | Status: OK
[BATCH #78] Inserted 2000 users | Total: 156000 | Payload Size: ~156000 KB | Latency: 1903.66 ms | Delta vs Prev: 1.27x | Status: OK
[BATCH #79] Inserted 2000 users | Total: 158000 | Payload Size: ~158000 KB | Latency: 1302.27 ms | Delta vs Prev: 0.68x | Status: OK
[BATCH #80] Inserted 2000 users | Total: 160000 | Payload Size: ~160000 KB | Latency: 6509.00 ms | Delta vs Prev: 5.00x | Status: OK

!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[-] BENCHMARK TERMINATED: Sudden performance degradation threshold reached.
Batch latency spiked by 5.00x relative to the immediately preceding batch.
Total sustained capacity before breakdown: 160000 users (~160000 KB raw payload).
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

